transaction_id;customer_id;product_cat_id;transaction_date;online_order;order_status;list_price;standard_cost
2463;3500;0;25.04.17 0:00;False;Approved;71,49;53,62
6309;3500;106;09.01.17 0:00;True;Approved;792,9;594,68
8416;3500;110;16.02.17 0:00;False;Approved;1228,07;400,91
8562;3500;16;08.08.17 0:00;False;Approved;1311,44;1167,18
14870;3500;6;11.01.17 0:00;False;Approved;60,34;45,26
19836;3500;124;14.03.17 0:00;True;Approved;1458,17;874,90
747;3499;38;21.06.17 0:00;False;Approved;642,7;211,37
2433;3499;30;25.02.17 0:00;True;Approved;1769,64;108,76
2794;3499;66;12.01.17 0:00;False;Approved;478,16;298,72
3902;3499;25;22.06.17 0:00;True;Approved;1403,5;954,82
7386;3499;117;01.03.17 0:00;True;Approved;1890,39;260,14
12434;3499;77;25.04.17 0:00;False;Approved;945,04;507,58
18403;3499;99;09.11.17 0:00;True;Approved;544,05;376,84
1244;3498;57;21.02.17 0:00;True;Approved;175,89;131,92
2692;3498;45;25.08.17 0:00;False;Approved;100,35;75,26
5028;3498;147;25.07.17 0:00;True;Approved;2083,94;675,03
13469;3498;9;03.02.17 0:00;True;Approved;1231,15;161,60
15666;3498;162;07.06.17 0:00;True;Approved;1227,34;770,89
17866;3498;79;10.02.17 0:00;True;Approved;358,39;215,03
6926;3497;25;08.11.17 0:00;True;Approved;1403,5;954,82
8276;3497;138;01.09.17 0:00;True;Approved;575,27;431,45
10493;3497;4;12.09.17 0:00;False;Approved;1765,3;709,48
3479;3496;68;18.04.17 0:00;True;Approved;1945,43;333,18
9232;3496;157;15.04.17 0:00;True;Approved;543,39;407,54
9769;3496;10;07.03.17 0:00;False;Approved;574,64;459,71
18797;3496;13;02.04.17 0:00;True;Approved;1661,92;1479,11
4395;3495;93;12.12.17 0:00;True;Approved;1179;707,40
4771;3495;118;17.12.17 0:00;True;Approved;533,51;400,13
10794;3495;141;21.03.17 0:00;False;Approved;2005,66;1203,40
14985;3495;155;11.02.17 0:00;False;Approved;1483,2;99,59
18035;3495;27;13.01.17 0:00;True;Approved;544,05;376,84
18178;3495;8;24.01.17 0:00;False;Approved;1071,23;380,74
19948;3495;186;28.02.17 0:00;False;Approved;1810;1610,90
4369;3494;19;26.12.17 0:00;True;Approved;1538,99;829,65
9577;3494;118;08.09.17 0:00;True;Approved;533,51;400,13
15474;3494;173;24.07.17 0:00;False;Approved;958,74;748,90
18470;3494;53;08.04.17 0:00;False;Approved;2091,47;388,92
619;3493;14;16.03.17 0:00;False;Approved;1765,3;709,48
2020;3493;141;28.09.17 0:00;True;Approved;2005,66;1203,40
5090;3493;166;29.06.17 0:00;True;Approved;1172,78;1043,77
9499;3493;186;28.07.17 0:00;True;Approved;1810;1610,90
13548;3493;153;30.06.17 0:00;True;Approved;1216,14;1082,36
18717;3493;31;19.05.17 0:00;True;Approved;2083,94;675,03
6765;3492;2;03.09.17 0:00;False;Approved;1793,43;248,82
15591;3492;94;11.10.17 0:00;False;Approved;1274,93;764,96
18129;3492;58;10.06.17 0:00;True;Approved;1073,07;933,84
1282;3491;108;02.02.17 0:00;False;Approved;202,62;151,96
6569;3491;38;24.06.17 0:00;True;Approved;642,7;211,37
14219;3491;135;29.04.17 0:00;False;Approved;1762,96;950,52
19444;3491;157;13.05.17 0:00;True;Approved;543,39;407,54
2225;3490;49;02.07.17 0:00;True;Approved;1403,5;954,82
2496;3490;140;18.03.17 0:00;False;Approved;227,88;136,73
3525;3490;180;01.01.17 0:00;True;Approved;642,7;211,37
17257;3490;166;17.07.17 0:00;False;Approved;1172,78;1043,77
18685;3490;7;12.06.17 0:00;True;Approved;1292,84;13,44
2810;3489;106;07.04.17 0:00;True;Approved;792,9;594,68
5565;3489;82;14.02.17 0:00;True;Approved;1775,81;1580,47
6733;3489;4;05.04.17 0:00;False;Approved;1765,3;709,48
7025;3489;161;26.01.17 0:00;False;Approved;752,64;205,36
13472;3489;25;13.09.17 0:00;False;Approved;1403,5;954,82
15729;3489;81;16.07.17 0:00;True;Approved;1810;1610,90
871;3488;136;22.10.17 0:00;False;Approved;1577,53;826,51
16036;3488;160;13.12.17 0:00;False;Approved;590,26;525,33
244;3487;134;20.12.17 0:00;True;Approved;1992,93;762,63
3155;3487;93;17.05.17 0:00;False;Approved;1179;707,40
4505;3487;27;04.07.17 0:00;True;Approved;543,39;407,54
727;3486;44;09.12.17 0:00;False;Approved;1635,3;993,66
8739;3486;110;24.06.17 0:00;False;Approved;1228,07;400,91
9129;3486;20;27.04.17 0:00;True;Approved;1362,99;57,74
12572;3486;74;21.12.17 0:00;True;Approved;495,72;297,43
8734;3485;96;05.12.17 0:00;True;Approved;1890,39;260,14
14360;3485;177;05.03.17 0:00;False;Approved;360,4;270,30
17642;3485;184;29.05.17 0:00;True;Cancelled;912,52;141,40
391;3484;145;12.10.17 0:00;False;Approved;774,53;464,72
3163;3484;148;03.09.17 0:00;False;Approved;1240,31;795,10
3375;3484;161;19.09.17 0:00;True;Approved;1228,07;400,91
6490;3484;53;20.06.17 0:00;False;Approved;2091,47;388,92
